loan_id,entity,product,quarter,loan_amount,load_batch_id
URB-MOR-2025Q2-0018,US Retail Bank,Mortgage,2025Q2,386761.01,B2025Q2-01
URB-MOR-2025Q2-0019,US Retail Bank,Mortgage,2025Q2,302455.96,B2025Q2-01
URB-MOR-2025Q2-0020,US Retail Bank,Mortgage,2025Q2,495475.88,B2025Q2-01
URB-MOR-2025Q2-0021,US Retail Bank,Mortgage,2025Q2,389886.65,B2025Q2-01
URB-MOR-2025Q2-0022,US Retail Bank,Mortgage,2025Q2,521942.29,B2025Q2-01
URB-MOR-2025Q2-0023,US Retail Bank,Mortgage,2025Q2,510758.75,B2025Q2-01
URB-MOR-2025Q2-0024,US Retail Bank,Mortgage,2025Q2,600723.24,B2025Q2-01
URB-MOR-2025Q2-0025,US Retail Bank,Mortgage,2025Q2,507769.25,B2025Q2-02
URB-MOR-2025Q2-0026,US Retail Bank,Mortgage,2025Q2,512749.44,B2025Q2-02
URB-MOR-2025Q2-0027,US Retail Bank,Mortgage,2025Q2,174757.02,B2025Q2-02
URB-MOR-2025Q2-0028,US Retail Bank,Mortgage,2025Q2,359917.49,B2025Q2-02
URB-MOR-2025Q2-0029,US Retail Bank,Mortgage,2025Q2,393550.31,B2025Q2-02
URB-MOR-2025Q2-0030,US Retail Bank,Mortgage,2025Q2,374498.37,B2025Q2-02
URB-MOR-2025Q2-0031,US Retail Bank,Mortgage,2025Q2,331498.24,B2025Q2-02
URB-MOR-2025Q2-0032,US Retail Bank,Mortgage,2025Q2,147309.21,B2025Q2-02
URB-MOR-2025Q2-0033,US Retail Bank,Mortgage,2025Q2,718845.41,B2025Q2-02
URB-MOR-2025Q2-0034,US Retail Bank,Mortgage,2025Q2,368834.53,B2025Q2-02
URB-MOR-2025Q2-0035,US Retail Bank,Mortgage,2025Q2,479797.46,B2025Q2-02
URB-MOR-2025Q2-0036,US Retail Bank,Mortgage,2025Q2,194622.19,B2025Q2-02
URB-MOR-2025Q2-0037,US Retail Bank,Mortgage,2025Q2,406356.44,B2025Q2-02
URB-MOR-2025Q2-0038,US Retail Bank,Mortgage,2025Q2,476702.8,B2025Q2-02
URB-MOR-2025Q2-0039,US Retail Bank,Mortgage,2025Q2,300537.12,B2025Q2-02
URB-MOR-2025Q2-0040,US Retail Bank,Mortgage,2025Q2,273571.23,B2025Q2-02
URB-MOR-2025Q2-0041,US Retail Bank,Mortgage,2025Q2,323200.47,B2025Q2-02
URB-MOR-2025Q2-0042,US Retail Bank,Mortgage,2025Q2,784000.62,B2025Q2-02
URB-MOR-2025Q2-0043,US Retail Bank,Mortgage,2025Q2,226575.79,B2025Q2-02
URB-MOR-2025Q2-0044,US Retail Bank,Mortgage,2025Q2,1275106.88,B2025Q2-02
URB-MOR-2025Q2-0045,US Retail Bank,Mortgage,2025Q2,87189.33,B2025Q2-02
URB-MOR-2025Q2-0046,US Retail Bank,Mortgage,2025Q2,367295.89,B2025Q2-02
URB-MOR-2025Q2-0047,US Retail Bank,Mortgage,2025Q2,270940.33,B2025Q2-02
URB-MOR-2025Q2-0048,US Retail Bank,Mortgage,2025Q2,379157.29,B2025Q2-02
URB-MOR-2025Q2-0049,US Retail Bank,Mortgage,2025Q2,340399.96,B2025Q2-02
URB-MOR-2025Q2-0050,US Retail Bank,Mortgage,2025Q2,285382.27,B2025Q2-03
URB-MOR-2025Q2-0051,US Retail Bank,Mortgage,2025Q2,264407.93,B2025Q2-03
URB-MOR-2025Q2-0052,US Retail Bank,Mortgage,2025Q2,513580.77,B2025Q2-03
URB-MOR-2025Q2-0053,US Retail Bank,Mortgage,2025Q2,532317.34,B2025Q2-03
URB-MOR-2025Q2-0054,US Retail Bank,Mortgage,2025Q2,468134.18,B2025Q2-03
URB-MOR-2025Q2-0055,US Retail Bank,Mortgage,2025Q2,203566.27,B2025Q2-03
URB-MOR-2025Q2-0056,US Retail Bank,Mortgage,2025Q2,128789.11,B2025Q2-03
URB-MOR-2025Q2-0057,US Retail Bank,Mortgage,2025Q2,258742.01,B2025Q2-03
URB-MOR-2025Q2-0058,US Retail Bank,Mortgage,2025Q2,173902.23,B2025Q2-03
URB-MOR-2025Q2-0059,US Retail Bank,Mortgage,2025Q2,884484.89,B2025Q2-03
URB-MOR-2025Q2-0060,US Retail Bank,Mortgage,2025Q2,305854.5,B2025Q2-03
URB-MOR-2025Q2-0061,US Retail Bank,Mortgage,2025Q2,356240.92,B2025Q2-03
URB-MOR-2025Q2-0062,US Retail Bank,Mortgage,2025Q2,201604.83,B2025Q2-03
URB-MOR-2025Q2-0063,US Retail Bank,Mortgage,2025Q2,224249.4,B2025Q2-03
URB-MOR-2025Q2-0064,US Retail Bank,Mortgage,2025Q2,872654.64,B2025Q2-03
URB-MOR-2025Q2-0065,US Retail Bank,Mortgage,2025Q2,215323.16,B2025Q2-03
URB-MOR-2025Q2-0066,US Retail Bank,Mortgage,2025Q2,517576.71,B2025Q2-03
URB-MOR-2025Q2-0067,US Retail Bank,Mortgage,2025Q2,643796.09,B2025Q2-03
URB-MOR-2025Q2-0068,US Retail Bank,Mortgage,2025Q2,290049.88,B2025Q2-03
URB-MOR-2025Q2-0069,US Retail Bank,Mortgage,2025Q2,387395.81,B2025Q2-03
URB-MOR-2025Q2-0070,US Retail Bank,Mortgage,2025Q2,401551.74,B2025Q2-03
URB-MOR-2025Q2-0071,US Retail Bank,Mortgage,2025Q2,818782.45,B2025Q2-03
URB-MOR-2025Q2-0072,US Retail Bank,Mortgage,2025Q2,317124.15,B2025Q2-03
URB-MOR-2025Q2-0073,US Retail Bank,Mortgage,2025Q2,205582.38,B2025Q2-03
URB-MOR-2025Q2-0074,US Retail Bank,Mortgage,2025Q2,282584.57,B2025Q2-03
URB-MOR-2025Q2-0075,US Retail Bank,Mortgage,2025Q2,703132.84,B2025Q2-04
URB-MOR-2025Q2-0076,US Retail Bank,Mortgage,2025Q2,205653.06,B2025Q2-04
URB-MOR-2025Q2-0077,US Retail Bank,Mortgage,2025Q2,256422.39,B2025Q2-04
URB-MOR-2025Q2-0078,US Retail Bank,Mortgage,2025Q2,374749.65,B2025Q2-04
URB-MOR-2025Q2-0079,US Retail Bank,Mortgage,2025Q2,862305.72,B2025Q2-04
URB-MOR-2025Q2-0080,US Retail Bank,Mortgage,2025Q2,520635.83,B2025Q2-04
URB-MOR-2025Q2-0081,US Retail Bank,Mortgage,2025Q2,171524.14,B2025Q2-04
URB-MOR-2025Q2-0082,US Retail Bank,Mortgage,2025Q2,424764.47,B2025Q2-04
URB-MOR-2025Q2-0083,US Retail Bank,Mortgage,2025Q2,905042.7,B2025Q2-04
URB-MOR-2025Q2-0084,US Retail Bank,Mortgage,2025Q2,489984.65,B2025Q2-04
URB-MOR-2025Q2-0085,US Retail Bank,Mortgage,2025Q2,142946.66,B2025Q2-04
URB-MOR-2025Q2-0086,US Retail Bank,Mortgage,2025Q2,359014.57,B2025Q2-04
URB-MOR-2025Q2-0087,US Retail Bank,Mortgage,2025Q2,587017.52,B2025Q2-04
URB-MOR-2025Q2-0088,US Retail Bank,Mortgage,2025Q2,140477.46,B2025Q2-04
URB-MOR-2025Q2-0089,US Retail Bank,Mortgage,2025Q2,372931.48,B2025Q2-04
URB-MOR-2025Q2-0090,US Retail Bank,Mortgage,2025Q2,347149.66,B2025Q2-04
URB-MOR-2025Q2-0091,US Retail Bank,Mortgage,2025Q2,303107.09,B2025Q2-04
URB-MOR-2025Q2-0092,US Retail Bank,Mortgage,2025Q2,384812.03,B2025Q2-04
URB-AUT-2025Q1-0000,US Retail Bank,Auto Loan,2025Q1,11806.58,B2025Q1-01
URB-AUT-2025Q1-0001,US Retail Bank,Auto Loan,2025Q1,24639.23,B2025Q1-01
URB-AUT-2025Q1-0002,US Retail Bank,Auto Loan,2025Q1,26327.19,B2025Q1-01
URB-AUT-2025Q1-0003,US Retail Bank,Auto Loan,2025Q1,46202.66,B2025Q1-01
URB-AUT-2025Q1-0004,US Retail Bank,Auto Loan,2025Q1,17892.12,B2025Q1-01
URB-AUT-2025Q1-0005,US Retail Bank,Auto Loan,2025Q1,30690.59,B2025Q1-01
URB-AUT-2025Q1-0006,US Retail Bank,Auto Loan,2025Q1,35315.56,B2025Q1-01
URB-AUT-2025Q1-0007,US Retail Bank,Auto Loan,2025Q1,19871.24,B2025Q1-01
URB-AUT-2025Q1-0008,US Retail Bank,Auto Loan,2025Q1,9562.53,B2025Q1-01
URB-AUT-2025Q1-0009,US Retail Bank,Auto Loan,2025Q1,12718.51,B2025Q1-01
URB-AUT-2025Q1-0010,US Retail Bank,Auto Loan,2025Q1,43201.11,B2025Q1-01
URB-AUT-2025Q1-0011,US Retail Bank,Auto Loan,2025Q1,9145.08,B2025Q1-01
URB-AUT-2025Q1-0012,US Retail Bank,Auto Loan,2025Q1,54103.06,B2025Q1-01
URB-AUT-2025Q1-0013,US Retail Bank,Auto Loan,2025Q1,40251.16,B2025Q1-01
URB-AUT-2025Q1-0014,US Retail Bank,Auto Loan,2025Q1,10836.93,B2025Q1-01
URB-AUT-2025Q1-0015,US Retail Bank,Auto Loan,2025Q1,53847.19,B2025Q1-01
URB-AUT-2025Q1-0016,US Retail Bank,Auto Loan,2025Q1,23436.66,B2025Q1-01
URB-AUT-2025Q1-0017,US Retail Bank,Auto Loan,2025Q1,37294.42,B2025Q1-01
URB-AUT-2025Q1-0018,US Retail Bank,Auto Loan,2025Q1,20380.98,B2025Q1-01
URB-AUT-2025Q1-0019,US Retail Bank,Auto Loan,2025Q1,23220.91,B2025Q1-01
URB-AUT-2025Q1-0020,US Retail Bank,Auto Loan,2025Q1,27876.29,B2025Q1-01
URB-AUT-2025Q1-0021,US Retail Bank,Auto Loan,2025Q1,22206.93,B2025Q1-01
URB-AUT-2025Q1-0022,US Retail Bank,Auto Loan,2025Q1,45946.05,B2025Q1-01
URB-AUT-2025Q1-0023,US Retail Bank,Auto Loan,2025Q1,20655.54,B2025Q1-01
URB-AUT-2025Q1-0024,US Retail Bank,Auto Loan,2025Q1,50723.26,B2025Q1-01
URB-AUT-2025Q1-0025,US Retail Bank,Auto Loan,2025Q1,76071.11,B2025Q1-02
URB-AUT-2025Q1-0026,US Retail Bank,Auto Loan,2025Q1,19915.35,B2025Q1-02
URB-AUT-2025Q1-0027,US Retail Bank,Auto Loan,2025Q1,59836.1,B2025Q1-02
URB-AUT-2025Q1-0028,US Retail Bank,Auto Loan,2025Q1,60546.22,B2025Q1-02
URB-AUT-2025Q1-0029,US Retail Bank,Auto Loan,2025Q1,29534.71,B2025Q1-02
URB-AUT-2025Q1-0030,US Retail Bank,Auto Loan,2025Q1,60007.63,B2025Q1-02
URB-AUT-2025Q1-0031,US Retail Bank,Auto Loan,2025Q1,24404.06,B2025Q1-02
URB-AUT-2025Q1-0032,US Retail Bank,Auto Loan,2025Q1,74023.99,B2025Q1-02
URB-AUT-2025Q1-0033,US Retail Bank,Auto Loan,2025Q1,26126.72,B2025Q1-02
URB-AUT-2025Q1-0034,US Retail Bank,Auto Loan,2025Q1,47500.86,B2025Q1-02
URB-AUT-2025Q1-0035,US Retail Bank,Auto Loan,2025Q1,22462.25,B2025Q1-02
URB-AUT-2025Q1-0036,US Retail Bank,Auto Loan,2025Q1,15783.73,B2025Q1-02
URB-AUT-2025Q1-0037,US Retail Bank,Auto Loan,2025Q1,26770.91,B2025Q1-02
URB-AUT-2025Q1-0038,US Retail Bank,Auto Loan,2025Q1,14145.46,B2025Q1-02
URB-AUT-2025Q1-0039,US Retail Bank,Auto Loan,2025Q1,23456.05,B2025Q1-02
URB-AUT-2025Q1-0040,US Retail Bank,Auto Loan,2025Q1,33414.07,B2025Q1-02
URB-AUT-2025Q1-0041,US Retail Bank,Auto Loan,2025Q1,23800.71,B2025Q1-02
URB-AUT-2025Q1-0042,US Retail Bank,Auto Loan,2025Q1,45853.42,B2025Q1-02
URB-AUT-2025Q1-0043,US Retail Bank,Auto Loan,2025Q1,21290.49,B2025Q1-02
URB-AUT-2025Q1-0044,US Retail Bank,Auto Loan,2025Q1,33783.34,B2025Q1-02
URB-AUT-2025Q1-0045,US Retail Bank,Auto Loan,2025Q1,25661.97,B2025Q1-02
URB-AUT-2025Q1-0046,US Retail Bank,Auto Loan,2025Q1,22956.06,B2025Q1-02
URB-AUT-2025Q1-0047,US Retail Bank,Auto Loan,2025Q1,6190.49,B2025Q1-02
URB-AUT-2025Q1-0048,US Retail Bank,Auto Loan,2025Q1,33309.65,B2025Q1-02
URB-AUT-2025Q1-0049,US Retail Bank,Auto Loan,2025Q1,89278.33,B2025Q1-02
URB-AUT-2025Q1-0050,US Retail Bank,Auto Loan,2025Q1,21606.3,B2025Q1-03
URB-AUT-2025Q1-0051,US Retail Bank,Auto Loan,2025Q1,14918.49,B2025Q1-03
URB-AUT-2025Q1-0052,US Retail Bank,Auto Loan,2025Q1,69459.18,B2025Q1-03
URB-AUT-2025Q1-0053,US Retail Bank,Auto Loan,2025Q1,57656.91,B2025Q1-03
URB-AUT-2025Q1-0054,US Retail Bank,Auto Loan,2025Q1,35667.33,B2025Q1-03
URB-AUT-2025Q1-0055,US Retail Bank,Auto Loan,2025Q1,25872.87,B2025Q1-03
URB-AUT-2025Q1-0056,US Retail Bank,Auto Loan,2025Q1,39880.66,B2025Q1-03
URB-AUT-2025Q1-0057,US Retail Bank,Auto Loan,2025Q1,54810.11,B2025Q1-03
URB-AUT-2025Q1-0058,US Retail Bank,Auto Loan,2025Q1,26835.76,B2025Q1-03
URB-AUT-2025Q1-0059,US Retail Bank,Auto Loan,2025Q1,36148.03,B2025Q1-03
URB-AUT-2025Q1-0060,US Retail Bank,Auto Loan,2025Q1,30736.12,B2025Q1-03
URB-AUT-2025Q1-0061,US Retail Bank,Auto Loan,2025Q1,34877.8,B2025Q1-03
URB-AUT-2025Q1-0062,US Retail Bank,Auto Loan,2025Q1,11462.28,B2025Q1-03
URB-AUT-2025Q1-0063,US Retail Bank,Auto Loan,2025Q1,20768.79,B2025Q1-03
URB-AUT-2025Q1-0064,US Retail Bank,Auto Loan,2025Q1,60957.16,B2025Q1-03
URB-AUT-2025Q1-0065,US Retail Bank,Auto Loan,2025Q1,32895.39,B2025Q1-03
URB-AUT-2025Q1-0066,US Retail Bank,Auto Loan,2025Q1,10645.82,B2025Q1-03
URB-AUT-2025Q1-0067,US Retail Bank,Auto Loan,2025Q1,51217.15,B2025Q1-03
URB-AUT-2025Q1-0068,US Retail Bank,Auto Loan,2025Q1,38864.41,B2025Q1-03
URB-AUT-2025Q1-0069,US Retail Bank,Auto Loan,2025Q1,30174.36,B2025Q1-03
URB-AUT-2025Q1-0070,US Retail Bank,Auto Loan,2025Q1,24848.97,B2025Q1-03
URB-AUT-2025Q1-0071,US Retail Bank,Auto Loan,2025Q1,21897.3,B2025Q1-03
URB-AUT-2025Q1-0072,US Retail Bank,Auto Loan,2025Q1,43877.52,B2025Q1-03
URB-AUT-2025Q1-0073,US Retail Bank,Auto Loan,2025Q1,83103.05,B2025Q1-03
URB-AUT-2025Q1-0074,US Retail Bank,Auto Loan,2025Q1,41170.24,B2025Q1-03
URB-AUT-2025Q1-0075,US Retail Bank,Auto Loan,2025Q1,52442.75,B2025Q1-04
URB-AUT-2025Q1-0076,US Retail Bank,Auto Loan,2025Q1,27757.89,B2025Q1-04
URB-AUT-2025Q1-0077,US Retail Bank,Auto Loan,2025Q1,18846.37,B2025Q1-04
URB-AUT-2025Q1-0078,US Retail Bank,Auto Loan,2025Q1,56179.24,B2025Q1-04
URB-AUT-2025Q1-0079,US Retail Bank,Auto Loan,2025Q1,45202.53,B2025Q1-04
URB-AUT-2025Q1-0080,US Retail Bank,Auto Loan,2025Q1,6689.76,B2025Q1-04
URB-AUT-2025Q2-0000,US Retail Bank,Auto Loan,2025Q2,90994.76,B2025Q2-01
URB-AUT-2025Q2-0001,US Retail Bank,Auto Loan,2025Q2,30044.25,B2025Q2-01
URB-AUT-2025Q2-0002,US Retail Bank,Auto Loan,2025Q2,82357.35,B2025Q2-01
URB-AUT-2025Q2-0003,US Retail Bank,Auto Loan,2025Q2,19158.63,B2025Q2-01
URB-AUT-2025Q2-0004,US Retail Bank,Auto Loan,2025Q2,36632.81,B2025Q2-01
URB-AUT-2025Q2-0005,US Retail Bank,Auto Loan,2025Q2,20673.65,B2025Q2-01
URB-AUT-2025Q2-0006,US Retail Bank,Auto Loan,2025Q2,54468.43,B2025Q2-01
URB-AUT-2025Q2-0007,US Retail Bank,Auto Loan,2025Q2,39202.48,B2025Q2-01
URB-AUT-2025Q2-0008,US Retail Bank,Auto Loan,2025Q2,46006.59,B2025Q2-01
URB-AUT-2025Q2-0009,US Retail Bank,Auto Loan,2025Q2,25812.77,B2025Q2-01
URB-AUT-2025Q2-0010,US Retail Bank,Auto Loan,2025Q2,36769.32,B2025Q2-01
